short_name,player_positions,overall,preferred_foot,weak_foot,skill_moves,player_traits,pace,shooting,passing,dribbling,defending,physic
R. Araujo,"CB, RB",86,Right,3,2,"Block +, Power Header, Jockey, Anticipate, Slide Tackle, Acrobatic",79,51,65,62,86,84
B. Saka,"RW, RM",86,Left,3,3,"Technical, Flair",85,81,79,87,60,70
M. de Ligt,CB,86,Right,3,2,"Slide Tackle +, Power Shot, Long Ball Pass, Block, Bruiser",66,61,64,68,85,86
Éder Militão,CB,86,Right,3,2,"Power Header, Long Ball Pass, Block, Intercept, Aerial",85,50,69,71,86,82
S. Tonali,"CDM, CM",86,Right,4,3,"Long Ball Pass, Slide Tackle, Relentless",84,74,81,81,82,84
N. Barella,CM,86,Right,3,3,"Relentless +, Tiki Taka, Slide Tackle",78,78,82,85,78,80
T. Alexander-Arnold,RB,86,Right,4,3,"Long Ball Pass +, Dead Ball, Whipped Cross",76,69,90,79,80,73
C. Nkunku,"CF, CAM, ST",86,Right,3,5,"Finesse Shot, Pinged Pass, Technical, Flair, First Touch, Trivela",82,81,83,88,62,67
O. Dembélé,"RW, LW",86,Left,5,5,"Rapid +, Flair, Trickster, Quick Step",93,77,81,87,36,57
Cristiano Ronaldo,ST,86,Right,4,5,"Power Shot +, Power Header, Flair, Trivela, Acrobatic, Aerial",77,88,75,80,34,74
T. Kroos,"CM, CDM",86,Right,5,3,"Long Ball Pass +, Dead Ball, Pinged Pass, Whipped Cross, Intercept, Press Proven",51,80,90,81,70,71
W. Szczęsny,GK,86,Right,3,1,Far Throw,"",,"",,"",
İ. Gündoğan,"CM, CDM",86,Right,4,4,"Pinged Pass, Press Proven",62,81,84,86,72,73
Parejo,"CM, CDM",86,Right,4,3,"Long Ball Pass +, Dead Ball, Incisive Pass, Press Proven",49,83,90,80,73,69
R. Mahrez,"RM, RW",86,Left,4,5,"First Touch +, Finesse Shot, Technical, Flair",79,81,81,89,38,60
S. Mané,"CF, LM, ST",86,Right,4,4,"Rapid, Flair",85,83,79,87,44,74
João Cancelo,"LB, RB",86,Right,4,4,"Whipped Cross, Block, Technical, Flair, First Touch, Trivela",81,73,85,84,80,72
P. Dybala,"CF, CAM",86,Left,3,4,"Flair +, Finesse Shot, Dead Ball, Technical, First Touch, Trivela, Acrobatic",80,85,85,90,40,60
N. Kanté,"CDM, CM",86,Right,3,2,"Intercept +, Relentless",69,65,73,80,85,77
A. Robertson,LB,86,Left,2,3,"Relentless +, Whipped Cross, Rapid",80,61,82,81,81,77
S. Milinković-Savić,CM,86,Right,5,4,"Power Header, Pinged Pass, First Touch, Relentless, Trivela, Aerial",68,80,82,82,79,86
Rodrygo,"RW, LW, ST",85,Right,4,4,"Dead Ball, Technical, Flair",88,81,79,86,31,62
F. Wirtz,"CAM, CM",85,Right,4,4,"Chip Shot, Pinged Pass, Technical, Flair, First Touch, Trivela",74,76,83,87,52,63
T. Hernández,"LB, LM",85,Left,3,3,"Rapid, Quick Step, Relentless, Long Throw",93,71,76,81,78,84
A. Bastoni,CB,85,Left,3,2,"Incisive Pass, Long Ball Pass, Jockey",73,35,72,73,86,83
P. Foden,"LW, RW",85,Left,3,4,"Technical, Flair, First Touch",81,79,82,88,57,60
J. Koundé,"CB, RB",85,Right,3,3,"Jockey +, Slide Tackle, Quick Step, Relentless",84,45,68,75,86,80
M. Rashford,"LW, LM, ST",85,Right,3,5,"Power Shot +, Technical, Flair, Quick Step",90,86,78,84,42,74
Diogo Jota,"CF, LW",85,Right,5,4,"Power Header, Rapid, Relentless",82,82,75,85,57,77
D. Rice,"CDM, CM",85,Right,3,2,"Long Ball Pass, Block, Intercept, Press Proven",71,65,75,77,83,83
J. Stones,"CB, RB",85,Right,4,3,Long Throw,72,52,75,77,85,77
A. Laporte,CB,85,Left,3,2,Long Ball Pass,61,50,73,69,86,78
A. Onana,GK,85,Right,3,1,Footwork,"",,"",,"",
K. Trippier,RB,85,Right,4,3,"Whipped Cross +, Dead Ball, Long Throw",68,65,86,79,82,72
K. Trapp,GK,85,Right,4,1,Footwork,"",,"",,"",
C. Immobile,ST,85,Right,4,3,Power Shot,85,87,68,78,39,74
Iago Aspas,ST,85,Left,4,3,"Chip Shot +, Finesse Shot, Dead Ball, Pinged Pass, Trivela",81,85,79,86,35,64
K. Navas,GK,85,Right,3,1,Far Throw,"",,"",,"",
D. Alaba,"CB, LB",85,Left,4,3,"Dead Ball, Anticipate",79,71,83,80,85,77
R. Varane,CB,85,Right,4,2,"Anticipate +, Aerial",79,49,64,67,86,78
E. Martínez,GK,85,Right,4,1,Far Throw,"",,"",,"",
A. Rüdiger,CB,85,Right,3,2,"Aerial +, Block",82,54,71,66,84,86
J. Grealish,"LW, LM",85,Right,3,4,"Press Proven +, Finesse Shot, Flair, First Touch",76,76,84,88,53,73
H. Çalhanoğlu,"CM, CDM",85,Right,4,4,"Long Ball Pass, Trivela",67,80,86,85,70,66
L. Goretzka,"CM, CDM",85,Right,4,3,"Power Shot, Intercept, Bruiser, Aerial",78,81,81,83,80,86
Y. Bounou,GK,85,Left,2,1,"Far Throw, Footwork","",,"",,"",
T. Partey,"CDM, CM",85,Right,3,3,"Incisive Pass, Long Ball Pass, Press Proven",68,71,82,80,81,82
D. Berardi,"RW, RM",85,Left,3,4,"Dead Ball, Whipped Cross, Technical, Flair, Trivela",82,83,81,87,36,72
K. Coman,"LM, RM",85,Right,3,5,"Rapid, Flair, First Touch, Quick Step, Acrobatic",89,76,79,87,30,62
G. Di Lorenzo,RB,85,Right,3,3,"Rapid, First Touch, Relentless",85,67,75,79,82,82
M. Acuña,"LB, LM",85,Left,3,3,"Power Shot, Long Ball Pass, Anticipate, Bruiser, Flair, Relentless, Trivela",75,74,83,83,81,84
A. Tchouaméni,"CDM, CM",84,Right,3,3,"Long Ball Pass, Jockey, Intercept, Anticipate, Bruiser, Relentless, Aerial",73,69,79,78,81,81
I. Bennacer,"CDM, CM, CAM",84,Left,3,4,Pinged Pass,80,72,81,86,79,78
F. Tomori,CB,84,Right,4,2,Block,86,40,59,66,86,82
M. Diaby,"RM, LM",84,Left,3,4,"Quick Step +, Rapid, First Touch",95,73,75,86,42,59
Gabriel Martinelli,"LW, LM",84,Right,3,4,"Finesse Shot, Technical, Flair, Quick Step, Trivela",89,78,76,86,46,72
A. Ramsdale,GK,84,Right,3,1,"",,"",,"",,
R. Kolo Muani,"ST, RM",84,Right,4,4,"Finesse Shot, Technical, Flair, Quick Step",91,78,73,86,38,67
L. Martínez,CB,84,Left,3,3,"Long Ball Pass, Slide Tackle, Bruiser",73,59,78,79,85,83
Bremer,CB,84,Right,2,2,"Power Header, Block, Bruiser, Aerial",80,50,56,65,85,83
Bruno Guimarães,"CM, CDM",84,Right,2,3,"Pinged Pass, Long Ball Pass, Flair, Press Proven, Trivela",71,74,81,84,80,81
N. Süle,"CB, RB",84,Right,3,3,"Slide Tackle +, Incisive Pass, Anticipate, Bruiser, Aerial",73,51,68,62,85,85
Rúben Neves,"CDM, CM",84,Right,4,3,"Power Shot, Long Ball Pass",60,75,86,77,76,73
Álex Remiro,GK,84,Right,4,1,Far Throw,"",,"",,"",
Gabriel,CB,84,Left,2,2,"Bruiser, Aerial",70,41,62,60,85,82
A. Hakimi,"RB, RWB",84,Right,4,4,"Whipped Cross, Quick Step",92,75,80,80,75,78
Kim Min Jae,CB,84,Right,3,2,"Power Header, Intercept, Slide Tackle, Aerial",80,33,58,64,85,84
R. James,"RB, RWB",84,Right,3,3,"Jockey +, Whipped Cross, Bruiser",80,72,83,82,82,81
J. Brandt,"CAM, RM, CM",84,Right,4,4,"Tiki Taka +, Finesse Shot, Pinged Pass, Technical, Flair, First Touch, Trivela",71,80,84,86,51,70
P. Højbjerg,"CDM, CM",84,Right,4,3,"Intercept, Relentless",55,73,78,78,81,82
J. Maddison,"CAM, RM, CM",84,Right,4,4,"Dead Ball +, Pinged Pass, Long Ball Pass, Flair, Trivela",71,81,86,86,54,63
L. Hernández,"CB, LB",84,Left,2,2,"Slide Tackle, Bruiser",76,54,70,70,84,78
Mikel Merino,"CM, CAM, LM",84,Left,3,3,"Power Shot, Pinged Pass, Relentless, Aerial",72,78,82,82,83,82
Gabriel Jesus,"ST, RW",84,Right,3,4,"Technical, Flair, First Touch, Relentless",83,82,75,88,40,77
Raphinha,RW,84,Left,4,4,"Power Shot, Rapid, Flair, Trickster, Quick Step, Relentless",91,79,78,86,53,73
F. Chiesa,"LM, LW, RW",84,Right,4,4,"Rapid +, Finesse Shot, Flair, Quick Step, Trivela",91,82,76,86,53,75
L. Díaz,"LW, LM",84,Right,4,4,"Technical, Flair, Quick Step",91,81,75,87,34,74
Thiago Silva,CB,84,Right,3,2,"Anticipate +, Power Header, Block, Acrobatic, Aerial",51,54,74,72,87,74
Y. Sommer,GK,84,Right,4,1,"",,"",,"",,
P. Gulácsi,GK,84,Right,2,1,"",,"",,"",,
K. Walker,RB,84,Right,2,3,"Jockey, Rapid, Long Throw",90,63,77,78,79,81
Thiago,CM,84,Right,3,5,"First Touch +, Incisive Pass, Tiki Taka, Slide Tackle, Technical, Flair, Trivela",61,72,86,89,71,67
T. Müller,"CAM, CF, ST",84,Right,4,3,"Pinged Pass, Trivela",59,82,83,79,55,69
C. Smalling,CB,84,Right,3,2,"Power Header, Aerial",62,47,58,62,87,82
R. Lukaku,ST,84,Left,4,3,"Power Shot, Power Header, Press Proven",80,84,74,77,38,82
K. Casteels,GK,84,Left,2,1,"",,"",,"",,
Koke,"CDM, CM",84,Right,4,3,"Long Ball Pass, Relentless",69,72,85,79,79,78
Luis Alberto,CM,84,Right,3,4,"Pinged Pass +, Finesse Shot, First Touch, Trivela",69,77,85,84,62,58
K. Koulibaly,CB,84,Right,4,2,"Power Header, Block, Bruiser",76,48,63,68,84,83
M. Depay,"CF, LW, ST",84,Right,3,5,"Technical, Flair, First Touch, Trivela",82,82,81,85,30,80
N. Pope,GK,84,Right,3,1,Footwork,"",,"",,"",
S. Gnabry,"RM, ST, LM",84,Right,4,4,Technical,81,84,78,84,43,68
M. Ginter,CB,84,Right,3,2,"Long Ball Pass, Intercept, Anticipate",60,59,71,66,85,80
Y. Carrasco,"LW, LWB",84,Right,4,4,"Whipped Cross, Technical, Flair, Trivela",88,81,80,85,59,66
Fabinho,CDM,84,Right,2,3,"Power Shot, Long Ball Pass, Block, Slide Tackle, Bruiser",59,69,78,77,82,82
A. Rabiot,"CM, LM",84,Left,3,3,"Power Header, First Touch, Aerial",78,76,80,80,82,84
Grimaldo,"LWB, LM",84,Left,2,3,"Dead Ball, Whipped Cross, Anticipate",87,69,83,84,76,72
R. De Paul,CM,84,Right,3,4,"Finesse Shot, Pinged Pass, Long Ball Pass, Technical",78,77,83,82,75,83
S. Lobotka,"CM, CDM",84,Right,4,3,"Anticipate, First Touch, Relentless",71,70,81,83,77,75
L. Sané,"RM, LM",84,Left,2,4,"Power Shot, Rapid, Flair, Quick Step",91,81,80,85,38,68
Marcos Llorente,"RM, CM, RB",84,Right,4,3,"Power Shot, Whipped Cross, Rapid, Quick Step, Relentless",89,78,79,80,78,81
M. Škriniar,CB,84,Right,3,2,"Jockey, Bruiser",78,41,57,67,86,83
Gavi,"CM, LW",83,Right,3,3,"Tiki Taka, Slide Tackle, Rapid, Relentless",76,66,78,85,68,70
W. Saliba,CB,83,Right,3,2,"Power Header, Jockey, Anticipate",82,39,69,73,84,82
E. Fernández,"CM, CDM",83,Right,4,3,"Long Ball Pass, Slide Tackle, Flair, First Touch, Press Proven, Relentless, Trivela",73,73,81,80,75,79
A. Davies,"LB, LM",83,Left,4,4,"Quick Step +, Rapid",95,66,78,84,74,77
C. Gakpo,"CF, LW",83,Right,4,4,"Finesse Shot, Technical, Quick Step, Trivela",85,82,78,84,42,73
D. Vlahović,"ST",83,Left,3,3,"Finesse Shot, Chip Shot, Flair",80,85,66,79,29,82
N. Schlotterbeck,CB,83,Left,2,3,"Power Header, Long Ball Pass, Jockey, Block, Intercept, Slide Tackle, Aerial",78,58,67,73,85,82
J. Frimpong,"RWB, RM",83,Right,3,3,"Rapid, Flair, Quick Step",94,56,75,84,74,70
Dani Olmo,"CAM, CF",83,Right,4,4,"Pinged Pass, Tiki Taka, Technical, Flair, First Touch, Trivela",68,76,82,86,50,59
S. Botman,CB,83,Left,3,2,"Long Ball Pass, Jockey, Bruiser",65,37,63,66,84,84
Unai Simón,GK,83,Right,3,1,Footwork,"",,"",,"",
Pau Torres,CB,83,Left,3,2,"Power Header, Long Ball Pass",72,38,68,70,84,81
A. Christensen,CB,83,Right,3,2,"",67,32,68,71,85,76
J. Giménez,CB,83,Right,3,2,"Power Header, Slide Tackle, Aerial",71,46,58,61,85,82
A. Meret,GK,83,Left,3,1,Footwork,"",,"",,"",
G. Mancini,CB,83,Right,3,2,"Power Header, Slide Tackle, Bruiser",67,45,54,62,83,86
K. Laimer,"CDM, CM",83,Right,3,3,"Block +, Pinged Pass, Slide Tackle, Bruiser, Relentless",80,69,77,78,81,79
G. Rodríguez,CDM,83,Right,4,2,"Tiki Taka, Anticipate, Slide Tackle, Bruiser, Trivela",51,58,72,70,85,80
B. Pavard,"CB, RB",83,Right,3,3,"Jockey, Intercept, Anticipate, Slide Tackle",70,62,73,72,85,78
A. Zambo Anguissa,"CDM, CM",83,Right,3,3,"Power Header, Technical, Flair, Relentless",78,68,72,81,81,86
L. Pellegrini,"CAM, CM, CF",83,Right,4,3,"Finesse Shot, Pinged Pass, Relentless, Trivela",79,76,83,83,74,78
Palhinha,"CDM, CM",83,Right,4,2,"Bruiser +, Long Ball Pass, Slide Tackle",62,67,71,76,84,89
Oyarzabal,"LM, RM, LW",83,Left,3,3,"Finesse Shot, Technical, Trivela",77,83,80,83,41,62
P. Schick,ST,83,Left,3,4,"Finesse Shot, Power Header, Technical, Flair, Acrobatic",79,80,71,81,37,76
Sergio Ramos,CB,83,Right,3,3,"Power Header, Bruiser, Aerial",57,69,73,70,83,76
H. Lloris,GK,83,Left,1,1,"",,"",,"",,
M. Hummels,CB,83,Right,3,2,"Intercept +, Long Ball Pass, Jockey, Anticipate, Trivela, Aerial",53,58,76,70,86,78
E. Džeko,ST,83,Right,5,3,"Finesse Shot, Technical, Acrobatic",59,84,72,77,45,76
Á. Di María,"CF, RW, RM",83,Left,2,5,"Trickster +, Finesse Shot, Chip Shot, Pinged Pass, Technical, Flair, Trivela",78,78,86,89,48,67
M. Reus,"CAM, CF",83,Right,4,4,"Chip Shot +, Finesse Shot, Whipped Cross, Technical, Flair, First Touch, Trivela",65,83,83,85,53,63
Jordi Alba,LB,83,Left,3,3,"Jockey, Block, Anticipate, Rapid",84,70,82,81,76,70
Sergio Busquets,CDM,83,Right,3,3,"Pinged Pass, Long Ball Pass, Anticipate, Press Proven",37,62,79,79,81,73
C. Eriksen,"CM, CDM",83,Right,5,4,"Pinged Pass +, Dead Ball, Long Ball Pass, Whipped Cross, Flair",59,77,89,81,51,53
A. Lacazette,ST,83,Right,4,4,"Finesse Shot, Technical",72,84,77,83,44,77
W. Ben Yedder,ST,83,Right,5,4,"Chip Shot +, Tiki Taka, Technical, Flair, Trivela",80,84,78,87,39,68
F. Acerbi,CB,83,Left,3,3,"Long Ball Pass, Block, Bruiser, Aerial",60,50,64,64,86,80
Nacho Fernández,"CB, LB, RB",83,Right,4,2,"Block, Intercept, Aerial",75,37,69,71,82,80
Morata,ST,83,Right,4,3,"Finesse Shot, Rapid",82,82,72,79,31,79
Sergi Darder,"CM, CDM, CAM",83,Right,3,3,"Finesse Shot, Power Shot, Pinged Pass, Incisive Pass, Long Ball Pass, Flair, Press Proven",81,76,82,83,74,77
R. Sterling,"LW, RW, ST",83,Right,3,4,"Rapid, Quick Step",85,78,76,85,45,67
W. Orban,CB,83,Right,3,2,"Power Header, Long Ball Pass, Anticipate",58,36,56,56,85,81
Jorginho,"CDM, CM",83,Right,3,3,"Pinged Pass, Incisive Pass, Anticipate, First Touch, Press Proven",53,67,84,81,74,73
S. Haller,ST,83,Right,3,3,"Power Header, Flair, First Touch, Acrobatic, Aerial",62,81,63,76,52,81
L. Shaw,"LB, CB",83,Left,2,3,Jockey,76,57,82,79,81,78
Gerard Moreno,"ST, RM",83,Left,4,3,"Finesse Shot, Power Shot, Trivela",77,85,77,81,46,72
E. Can,"CDM, CB",83,Right,4,3,"Incisive Pass, Long Ball Pass, Intercept, Slide Tackle, Bruiser, Press Proven, Aerial",79,78,77,79,82,87
F. Kostić,"LM, LW",83,Left,2,3,"Pinged Pass, Whipped Cross, Rapid",85,76,82,82,70,80
J. Hofmann,"CAM, RM, LM",83,Right,4,3,"Dead Ball, Pinged Pass, Whipped Cross, Technical, Relentless",76,79,83,81,64,73
P. Zieliński,"CM, CAM",83,Right,5,4,"Technical, Trivela",81,77,81,86,71,63
A. Romagnoli,CB,83,Left,3,2,Aerial,69,40,56,69,85,80
M. Brozović,"CDM, CM",83,Right,4,3,"Long Ball Pass, Press Proven, Relentless",66,74,81,80,80,78
Rafa,"CF, RM",83,Right,3,4,"Rapid, Flair, First Touch, Quick Step, Trivela, Acrobatic",93,77,77,86,50,54
N. Fekir,CAM,83,Left,4,4,"Finesse Shot, Power Shot, Dead Ball, Technical, Flair, First Touch, Trivela",82,81,81,86,39,80
Marco Asensio,RW,83,Left,3,4,"Pinged Pass, Whipped Cross",81,81,81,83,43,63
Borja Iglesias,ST,83,Right,3,3,"Finesse Shot, Trivela",69,84,66,76,40,82
Ronaldo Cabrais,"CAM, RM",83,Right,4,4,"Technical, Flair",88,77,83,84,35,72
E. Camavinga,"CDM, CM, LB",82,Left,3,4,"Jockey, Block, Bruiser, Technical, Flair",79,66,80,82,76,80
Diogo Costa,GK,82,Right,2,1,Footwork,"",,"",,"",
Ferran Torres,"LW, RW, ST",82,Right,4,4,Technical,83,79,78,83,35,68
J. Gvardiol,"CB, LB",82,Left,4,3,"Block +, Power Header, Incisive Pass, Long Ball Pass, Jockey",78,54,69,74,82,83
D. Núñez,"ST, LW",82,Right,3,3,"Rapid, Quick Step",90,81,71,76,43,85
R. Le Normand,CB,82,Right,3,2,"Power Header, Slide Tackle, Aerial",62,26,54,59,84,79
K. Havertz,"CAM, RW, ST",82,Left,4,4,"Finesse Shot, Chip Shot, Technical, First Touch, Trivela",78,79,79,83,45,68
Nuno Mendes,"LB, LWB",82,Left,4,3,"Incisive Pass, Whipped Cross, Rapid, Quick Step",89,58,75,80,77,76
M. Locatelli,"CDM, CM",82,Right,4,3,"Long Ball Pass, Relentless",67,70,80,78,79,80
D. Upamecano,CB,82,Right,3,3,"Incisive Pass, Bruiser",83,45,63,72,81,83
C. Romero,CB,82,Right,2,3,"Long Ball Pass, Intercept, Slide Tackle, Bruiser",70,46,59,66,84,80
J. Sancho,"LW, LM",82,Right,3,5,"Finesse Shot, Flair",78,70,80,87,33,47
N. Molina,"RB, RWB, RM",82,Right,3,3,"Whipped Cross, Block",85,67,76,79,78,71
D. Szoboszlai,CAM,82,Right,4,4,"Dead Ball +, Power Shot, Whipped Cross, Technical, Flair, Trivela",83,82,84,82,34,64
O. Kökçü,"CM, CAM",82,Right,5,3,"Finesse Shot, Power Shot, Dead Ball, Pinged Pass, Trivela",72,76,83,80,69,79
L. Openda,ST,82,Right,4,3,"Finesse Shot, Rapid, Quick Step, Trivela",93,79,68,80,31,78
F. Dimarco,"LWB, LM, CB",82,Left,2,3,Whipped Cross,79,71,80,79,74,71
R. Bentancur,"CM, CDM",82,Right,4,4,"First Touch, Relentless",70,67,81,83,79,77
N. Mazraoui,RB,82,Right,3,3,"Jockey, Slide Tackle, Technical, Flair",79,66,77,83,77,74
G. Vicario,GK,82,Right,1,1,Footwork,"",,"",,"",
Pedro Gonçalves,"LW, RW, CM",82,Right,4,4,"Finesse Shot, Dead Ball, Pinged Pass, Tiki Taka, Whipped Cross, Technical, Flair",76,82,81,84,58,66
V. Tsygankov,"RM, CM, CAM",82,Left,4,4,"Technical, Flair, Quick Step",85,78,79,81,46,61
B. Dia,"ST, LW, CF",82,Right,3,3,"",82,81,62,81,27,77
J. Pickford,GK,82,Left,4,1,Footwork,"",,"",,"",
Y. Tielemans,"CM, CDM",82,Right,5,4,"Power Shot, Pinged Pass, Incisive Pass, Long Ball Pass",50,79,85,79,69,69
E. Ünal,ST,82,Right,4,3,"Finesse Shot, Power Shot, Dead Ball, Aerial",72,84,70,82,40,80
L. Torreira,"CDM, CM",82,Right,3,3,"Tiki Taka, Intercept, Anticipate, Slide Tackle, Relentless",76,70,77,80,79,78
P. Kimpembe,CB,82,Left,3,2,"Block +, Intercept, Aerial",79,43,68,69,81,86
F. Kessié,"CDM, CM",82,Right,4,3,"Power Shot, Relentless",79,76,74,79,81,87
D. Malen,"RM, ST",82,Right,4,4,"Technical, Flair, First Touch, Trickster, Quick Step, Trivela",89,80,73,85,35,73
A. Mac Allister,"CM, CAM, CDM",82,Right,3,3,"Dead Ball, Pinged Pass, Incisive Pass",70,79,82,82,70,72
D. Livaković,GK,82,Right,2,1,"Far Throw, Footwork","",,"",,"",
T. Werner,ST,82,Right,4,3,"Rapid, Quick Step",91,80,70,82,35,69
T. Lemar,"CM, LM",82,Left,3,4,"Finesse Shot, Jockey, Technical, Trivela",82,78,83,86,67,65
Joelinton,"CM, LW",82,Right,3,3,"Bruiser, Press Proven",78,71,76,82,81,88
David García,CB,82,Right,3,2,"Power Header, Intercept, Slide Tackle, Aerial",59,37,66,65,83,77
M. Akanji,CB,82,Right,4,2,Slide Tackle,77,48,70,72,83,78
Mario Hermoso,CB,82,Left,3,2,"Long Ball Pass, Block, Slide Tackle, Aerial",75,49,74,71,82,79
Y. En-Nesyri,ST,82,Left,3,3,"Power Header, Rapid, Quick Step, Relentless, Aerial",81,82,63,76,36,79
Joselu,ST,82,Right,3,3,"Power Header +, Power Shot, Aerial",63,84,69,74,33,77
O. Giroud,ST,82,Left,3,3,"Acrobatic +, Power Header, Trivela, Aerial",43,83,74,74,42,80
Fernando,"CDM, CB",82,Right,3,3,"Intercept, Slide Tackle",63,62,74,73,82,81
M. Götze,"CAM, CF, LM",82,Right,4,4,"Finesse Shot, Pinged Pass, Tiki Taka, Technical, Flair, First Touch",63,75,83,85,55,71
N. Otamendi,CB,82,Right,3,2,"Power Header, Jockey, Intercept, Slide Tackle, Bruiser, Aerial",64,57,64,59,83,85
C. Wilson,ST,82,Right,3,3,"",80,82,67,79,42,76
S. de Vrij,CB,82,Right,3,2,"Long Ball Pass, Intercept, Aerial",64,41,64,69,84,76
D. Tadić,"LW, CF, RW",82,Left,3,4,"Chip Shot, Flair, First Touch, Press Proven, Trivela",64,80,85,83,43,76
A. Lopes,GK,82,Left,2,1,"",,"",,"",,
G. Xhaka,"CM, CDM",82,Left,3,3,"Power Shot, Long Ball Pass, Slide Tackle, Bruiser",49,74,82,73,75,82
